股票代號,股票名稱,收盤價,月平均價
"06824P","台積電元大26售05","3.78","3.65"
"068253","元油反凱基1B購02","","0.04"
"06825P","聯發科元大23售04","3.03","2.96"
"06826P","聯發科元大26售01","2.10","2.10"
"06827P","台驊控元大23售01","1.09","1.09"
"06828P","聯詠元大23售01","","1.43"
"06829P","創意元大1C售12","0.40","0.56"
"068301","台積電元大1B購13","0.01","0.01"
"06830P","創意元大26售01","1.01","1.17"
"06831P","世芯元大23售03","1.32","1.46"
"06832P","世芯元大26售01","0.96","1.05"
"068335","東哥元大1B購01","","3.62"
"06833P","致伸元大1C售02","","0.36"
"06834P","新唐元大23售02","","1.39"
"06836P","萬海國票23售01","3.00","3.00"
"06837P","長榮航國票1C售06","0.71","0.71"
"06841P","陽明凱基23售02","","1.73"
"068420","正文兆豐1B購01","","0.31"
"068427","台航元富1C購01","","0.18"
"06843P","臺股指凱基23售19","","4.89"
"068442","香港2X凱基1C購01","","0.10"
"06844P","電子類凱基23售01","2.23","2.21"
"06845P","金融類凱基23售02","1.99","2.01"
"06847P","華邦電中信1C售01","0.57","0.57"
"06850P","聯發科群益1C售13","","2.12"
"068511","正文富邦23購01","","0.53"
"06852P","聯電康和1C售03","0.69","0.66"
"06853P","友達康和23售01","","0.19"
"06854P","群創康和23售01","","0.11"
"06855P","聯電凱基26售01","","1.14"
"068566","聯發科統一23購03","0.06","0.07"
"06856P","聯發科凱基26售04","2.56","2.52"
"068570","世芯統一23購05","0.41","0.37"
"068571","世芯統一23購06","0.15","0.14"
"06857P","聯發科凱基29售03","2.49","2.52"
"068596","道瓊反群益1C購03","0.28","0.28"
"06859P","威盛元富1C售02","0.70","0.82"
"068606","長榮航群益21購03","","0.71"
"06861P","台積電元大1C售46","3.66","3.34"
"06863P","台積電元大24售02","3.12","3.02"
"068642","滬深2X元富1C購02","0.24","0.16"
"06864P","偉詮電元大1C售02","1.11","1.14"
"068650","台積電元富1C購15","","0.01"
"068653","世芯元富1C購02","0.11","0.09"
"06865P","京元電元大1C售04","2.58","2.70"
"068665","中興電凱基1B購02","","0.28"
"06867P","聯發科元大1C售21","1.69","1.69"
"06868P","聯發科元大23售06","2.03","2.03"
"06869P","欣興元大1C售27","","0.86"
"06872P","富鼎元大1C售04","","0.93"
"06873P","富鼎元大1C售05","1.47","1.45"
"068748","聯發科富邦1C購07","0.17","0.19"
"068769","鴻海康和1B購03","","1.13"
"06876P","聯發科國票21售07","1.75","1.73"
"06877P","聯發科國票23售02","","0.56"
"06878P","宏達電國票1C售04","","0.52"
"06879P","致伸國票23售01","","0.45"
"06880P","富鼎國票21售02","1.46","1.61"
"068819","美時凱基1B購02","","1.31"
"06881P","臺股指國票21售15","1.66","1.67"
"06883P","宏達電國票21售02","0.96","1.02"
"06884P","宏達電國票23售02","0.24","0.28"
"06885P","創意國票23售02","0.72","0.99"
"068869","長榮統一23購04","0.02","0.02"
"068873","創意統一1C購02","1.50","1.26"
"06887P","富鼎國票21售03","0.86","0.90"
"068891","中興電元大1B購01","0.02","0.02"
"06890P","威盛群益23售02","1.31","1.54"
"06891P","宏達電群益1C售06","1.82","2.09"
"06892P","長榮航群益1C售15","6.00","6.05"
"06893P","富邦金群益1C售01","","1.77"
"06895P","威盛統一1C售03","0.14","0.18"
"06896P","華新元大1C售13","","0.62"
"06897P","華新元大23售02","0.73","0.72"
"06898P","中鋼元大1C售07","","0.29"
"06899P","聯電元大1C售21","1.31","1.30"
"06900P","聯電元大25售04","0.76","0.77"
"06903P","聯發科元大1C售22","","0.23"
"069045","中砂統一22購01","0.10","0.10"
"069046","國巨統一23購01","0.08","0.08"
"069047","金像電統一1C購01","0.42","0.44"
"069050","榮運統一23購01","","0.06"
"06905P","陽明元大1C售20","","3.58"
"069074","華通元大1B購01","0.32","0.30"
"06907P","陽明元大23售07","3.23","3.27"
"06908P","長榮航元大23售03","","1.04"
"06909P","奇鋐元大1C售04","0.05","0.08"
"06910P","東哥元大1C售05","0.42","0.51"
"069118","元油反統一23購01","","0.38"
"06911P","威盛國票23售01","0.30","0.37"
"069123","奇鋐統一23購01","","0.10"
"069128","中興電兆豐1B購01","","0.10"
"06912P","威盛國票23售02","0.28","0.36"
"06914P","臺股指國票23售11","","4.54"
"06915P","華新國泰23售01","1.00","1.00"
"06916P","台灣50凱基23售06","","7.10"
"069175","滬深2X元富23購01","0.24","0.24"
"069176","A50正2元富23購01","0.13","0.12"
"06917P","台灣50凱基26售04","2.80","2.72"
"06918P","華新凱基23售03","0.44","0.43"
"06920P","聯電凱基21售06","1.12","1.12"
"06921P","華通凱基21售02","","0.55"
"06922P","台積電凱基25售03","","3.46"
"06924P","友達凱基25售01","0.21","0.22"
"06925P","聯發科凱基21售07","0.12","0.13"
"069272","健策元大1B購01","0.17","0.20"
"069274","世芯元大1B購03","","0.03"
"069275","世芯元大24購01","0.82","0.74"
"06927P","長榮航凱基25售03","0.98","1.08"
"069289","欣興第一23購01","","0.10"
"06928P","富鼎凱基21售02","0.48","0.53"
"069290","景碩第一23購01","0.08","0.08"
"06930P","中鴻元大21售01","1.15","1.11"
"069318","日電貿凱基1C購01","0.23","0.21"
"06931P","台積電元大21售17","4.75","4.38"
"069323","GIS凱基1C購01","0.09","0.10"
"06932P","台積電元大21售18","6.20","6.10"
"06933P","微星元大23售02","","0.66"
"06934P","聯發科元大21售07","0.85","0.85"
"06935P","聯發科元大21售08","1.23","1.16"
"06936P","萬海元大21售04","2.74","2.81"
"06937P","大立光元大21售08","0.32","0.39"
"06938P","玉晶光元大23售03","0.57","0.69"
"069392","台郡兆豐1B購01","0.51","0.46"
"069403","大立光統一1B購01","0.03","0.03"
"069405","玉晶光統一22購01","0.15","0.12"
"069407","新唐統一23購01","0.11","0.10"
"06940P","台灣50富邦23售02","","2.47"
"069412","大立光富邦23購02","0.10","0.08"
"069422","光寶科元大1B購01","0.57","0.62"
"06944P","晶豪科群益21售02","","2.39"
"06945P","新唐群益22售01","","2.25"
"06946P","聚陽國票23售01","0.05","0.07"
"06947P","美時國票21售01","0.60","0.61"
"069483","長榮航兆豐1C購01","0.05","0.05"
"06948P","美時國票22售01","0.49","0.51"
"069508","台肥群益1B購01","","0.74"
"06950P","微星國票23售01","","0.20"
"06951P","美食國票23售01","1.24","1.28"
"06952P","日月光國票23售01","0.35","0.37"
"069541","智邦第一23購01","0.87","0.86"
"069546","新唐第一23購01","0.14","0.14"
"06954P","長榮凱基23售05","1.98","2.07"
"06955P","長榮凱基23售06","","2.31"
"06956P","萬海凱基21售03","","2.56"
"06957P","友達元富21售03","0.25","0.28"
"069585","聚陽永豐1B購01","0.38","0.38"
"06958P","聯發科元富21售18","1.19","1.15"
"069632","元油反元大1B購01","","1.08"
"069642","華通元大23購01","","0.10"
"06964P","美時元大21售01","0.49","0.50"
"06965P","聯電元大21售08","1.82","1.85"
"069669","長榮航元大24購03","0.10","0.09"
"06967P","聯發科元大21售10","0.31","0.31"
"069683","鴻海富邦1B購02","","0.24"
"069688","創意中信1B購01","0.22","0.17"
"06968P","聯發科元大21售11","1.43","1.38"
"06969P","長榮元大21售15","2.62","2.87"
"06970P","長榮元大24售05","2.24","2.34"
"06971P","玉晶光元大24售01","1.18","1.35"
"069728","美時國票1B購02","1.57","1.70"
"06972P","日月光元大21售02","0.68","0.71"
"069734","元油反統一1C購01","0.31","0.31"
"06973P","聯發科富邦23售07","1.17","1.13"
"069745","長榮元富33購01","0.34","0.34"
"069749","健策康和1B購02","0.16","0.15"
"06974P","聚陽中信21售01","","0.01"
"069753","國泰金第一26購01","0.10","0.10"
"069757","同欣電第一25購01","","0.22"
"06975P","聯電國泰23售03","","1.23"
"069761","上銀凱基1B購03","","0.01"
"069762","正新凱基1C購01","","0.07"
"069763","裕隆凱基1C購01","0.77","0.83"
"069766","鴻海凱基1B購05","0.52","0.64"
"069768","鴻海凱基1B購07","0.01","0.01"
"069770","精元凱基1C購01","0.30","0.28"
"069773","盟立凱基1C購01","","0.16"
"069774","可成凱基1B購03","3.26","3.19"
"06977P","台達電群益21售02","","0.07"
"069789","嘉聯益凱基1C購01","0.69","0.54"
"06978P","金像電群益21售01","0.46","0.52"
"069790","啟碁凱基1C購01","1.72","1.97"
"069791","訊芯凱基1C購01","0.35","0.37"
"069795","中興電元大1B購02","","0.12"
"069799","美時元大23購01","1.71","1.71"
"06979P","微星群益22售02","","0.32"
"069813","台積電元大33購01","0.15","0.16"
"069823","長榮元大26購01","","0.02"
"06984P","萬海群益23售01","2.38","2.50"
"069851","智邦中信1B購01","1.04","1.06"
"069855","元油反群益1B購01","0.11","0.14"
"06985P","晶華群益21售02","","0.95"
"069890","力麗凱基1C購01","0.25","0.24"
"069903","精英凱基1C購01","","0.61"
"069906","聯發科凱基2B購01","","0.17"
"06990P","聯電凱基21售10","0.34","0.35"
"069918","世芯凱基23購01","0.06","0.05"
"069920","麗豐凱基1C購01","","0.03"
"069921","台耀凱基1C購01","0.19","0.20"
"069924","瑞祺凱基1C購01","","0.14"
"06993P","陽明凱基24售02","2.54","2.71"
"069940","元油反元大1C購06","0.84","0.89"
"069941","元油反元大23購01","0.40","0.42"
"06994P","玉晶光凱基25售01","0.68","0.80"
"06996P","台積電元富21售13","3.36","3.04"
"069975","上緯控元大1C購01","0.08","0.12"
"06997P","長榮元富21售11","1.37","1.60"
"069983","元油反國票1B購01","","0.91"
"06998P","萬海元富21售03","","3.44"
"070003","台達電第一23購01","0.70","0.67"
"070005","美時群益1B購02","0.66","0.80"
"07000P","兆豐金麥證21售02","0.81","0.83"
"070020","台表科康和1B購01","","0.01"
"070028","華泰凱基1C購01","","0.12"
"070032","美律凱基1C購01","0.38","0.44"
"070033","聯發科凱基26購01","0.02","0.02"
"070034","宏盛凱基1C購01","0.57","0.57"
"070044","智伸科凱基1C購01","0.62","0.62"
"07004P","光罩國票23售02","1.44","1.56"
"07006P","聯陽國票23售01","0.37","0.44"
"070071","陽明統一1C購06","","0.01"
"070076","力特統一23購01","0.45","0.42"
"070077","建漢統一23購01","0.10","0.10"
"07007P","揚明光國票23售01","0.29","0.37"
"07008P","嘉澤國票23售01","0.24","0.26"
"070092","嘉聯益永豐1B購01","1.36","1.04"
"070093","瑞儀永豐1B購01","","0.25"
"070095","啟碁永豐1C購01","1.36","1.55"
"07009P","辛耘國票22售02","","0.72"
"07010P","智易國票22售01","0.47","0.47"
"070150","精元國票1B購01","","0.10"
"07015P","世紀鋼國票22售01","1.55","1.54"
"070162","友訊元富23購01","","0.28"
"070164","美律元富21購01","0.35","0.40"
"070166","大立光元富23購02","","0.95"
"070178","正新永豐1B購01","","0.01"
"070179","裕隆永豐21購01","0.72","0.80"
"07017P","美時元大21售05","0.77","0.77"
"070180","精英永豐21購01","0.23","0.26"
"070188","王品永豐21購01","0.46","0.36"
"070189","大立光永豐21購01","","0.39"
"07018P","台積電元大21售23","3.88","3.62"
"07019P","聯發科元大21售13","1.14","1.14"
"07020P","聯發科元大21售14","1.43","1.42"
"070210","台耀群益1B購01","","0.07"
"070216","宏達電統一23購01","0.57","0.51"
"07021P","力積電元大21售07","","3.11"
"070221","嘉聯益統一1B購01","1.30","0.93"
"070227","中興電凱基21購01","","0.18"
"07022P","T50正2富邦22售03","1.70","1.68"
"070237","可成凱基21購01","1.54","1.64"
"07023P","長榮中信24售02","","1.57"
"07024P","東鋼群益21售02","0.65","0.64"
"070253","啟碁凱基21購01","2.87","3.12"
"070254","騰輝電凱基21購01","0.10","0.10"
"07025P","華通國票23售01","","0.72"
"070263","T50反1元大23購02","","1.44"
"070264","A50正2元大1B購01","0.05","0.05"
"070276","正新元大21購01","0.02","0.03"
"070277","裕隆元大21購01","","1.17"
"07027P","乙盛國票24售01","0.50","0.50"
"070291","仲琦元大21購01","2.12","2.06"
"070292","美律元大21購01","0.50","0.52"
"07029P","穎崴國票23售01","","0.87"
"070302","信邦元大21購01","0.43","0.41"
"070307","啟碁元大21購01","","3.11"
"070308","旭隼元大21購01","0.27","0.31"
"07030P","亞德客凱基21售03","0.80","0.93"
"070319","可成群益21購01","","1.31"
"07031P","亞德客凱基24售01","0.53","0.56"
"070324","瀚宇博群益21購01","0.05","0.05"
"07032P","中鴻凱基21售01","1.19","1.12"
"070330","大立光國泰1C購02","","0.45"
"070338","中纖永豐1C購01","","0.07"
"07033P","華碩凱基21售02","1.64","1.62"
"070346","美律永豐1C購01","","0.06"
"07034P","華碩凱基21售03","0.72","0.70"
"070352","力特永豐21購01","0.06","0.04"
"07035P","瑞昱凱基21售03","1.93","2.01"
"070363","為升元富21購01","0.23","0.20"
"070364","金寶元富21購01","","0.18"
"07036P","台光電凱基21售03","0.60","0.74"
"07037P","聯發科凱基21售12","0.73","0.68"
"070389","興農凱基1C購02","0.40","0.40"
"07038P","義隆凱基21售01","","3.27"
"070390","中碳凱基21購01","","0.26"
"07039P","華航凱基21售03","","1.64"
"07040P","華航凱基23售02","1.20","1.22"
"070413","旭隼凱基21購01","0.55","0.55"
"070418","大成鋼元大1C購03","","0.07"
"070421","金寶元大21購01","0.11","0.11"
"070423","鴻海元大1C購02","","0.31"
"07042P","大立光凱基21售06","0.18","0.21"
"07043P","陽明國泰23售03","","2.69"
"070455","晶心科元大1C購01","0.31","0.22"
"070456","富鼎元大1C購01","0.08","0.08"
"070482","鴻準國票1C購01","","0.01"
"070484","可成國票1C購01","1.32","1.32"
"070485","可成國票21購01","0.62","0.64"
"070490","GIS國票1C購01","0.02","0.02"
"07049P","臺股指麥證25售01","1.98","1.98"
"070500","力特統一26購01","0.23","0.22"
"070501","揚明光統一1C購01","0.72","0.63"
"070508","永豐餘群益1C購01","","0.02"
"07050P","台積電元大21售25","3.47","3.19"
"070512","裕隆群益1C購01","","0.67"
"070518","茂矽群益21購01","","0.07"
"07051P","聯發科元大21售17","0.61","0.60"
"07052P","慧洋元大21售03","1.09","1.34"
"070531","嘉聯益群益21購01","1.28","0.93"
"07053P","臺股指元大21售23","1.12","1.14"
"07054P","臺股指元大21售24","","2.40"
"07055P","臺股指元大21售25","1.40","1.41"
"070569","友訊國泰1C購01","0.32","0.22"
"07056P","臺股指元大23售31","1.06","1.08"
"070574","裕隆元富21購01","0.55","0.58"
"070577","可成元富21購02","2.62","2.69"
"07057P","臺股指元大23售32","1.94","1.96"
"070589","A50正2元大1C購01","0.05","0.05"
"07058P","臺股指元大23售33","1.47","1.47"
"070590","中興電元大24購01","0.43","0.43"
"07059P","台灣50永豐21售01","0.60","0.59"
"070605","茂矽元大21購01","0.09","0.09"
"07060P","台灣50永豐21售02","0.87","0.83"
"070618","日電貿元大21購01","","0.17"
"07061P","台積電中信25售04","1.22","1.16"
"070620","嘉聯益元大21購01","1.29","0.87"
"070622","GIS元大1C購01","","0.07"
"070623","GIS元大21購01","0.09","0.09"
"07062P","技嘉中信21售02","","0.03"
"070631","臺股指元大23購01","0.01","0.01"
"07063P","臺股指永豐21售01","0.42","0.43"
"07064P","仁寶凱基21售01","0.42","0.47"
"07065P","台積電凱基21售21","0.23","0.25"
"070662","富鼎國泰1C購01","0.33","0.33"
"070664","華城康和1C購01","0.10","0.12"
"07066P","國泰金凱基25售01","0.87","0.92"
"07067P","台灣50群益21售08","2.36","2.23"
"070688","寶齡國票1C購01","1.63","2.00"
"07068P","台灣50群益21售09","","2.96"
"07069P","台灣50群益22售02","","2.89"
"07070P","長榮航群益21售06","2.41","2.40"
"070713","華城統一21購01","","0.13"
"070714","華城統一24購01","0.22","0.21"
"070718","大立光統一1C購05","0.80","0.77"
"070720","上品統一21購01","0.51","0.50"
"070721","上品統一24購01","0.54","0.54"
"070722","元晶統一21購01","","0.06"
"070723","元晶統一21購02","","0.07"
"070724","元晶統一24購01","0.10","0.10"
"07073P","臺股指群益21售10","1.88","1.88"
"07074P","臺股指群益21售11","2.19","2.15"
"070756","台達電富邦23購01","0.46","0.42"
"07075P","臺股指群益21售12","","2.46"
"07076P","臺股指群益21售13","2.41","2.46"
"070777","元晶元富21購01","","0.13"
"07077P","聯發科兆豐21售02","0.28","0.28"
"070780","力積電元富24購01","0.10","0.10"
"070783","聯發科麥證22購01","","0.04"
"070787","聯詠麥證1C購01","","0.01"
"07078P","聯發科麥證24售02","0.76","0.75"
"070797","寶齡元大21購01","0.94","1.09"
"07079P","可成麥證21售01","","0.13"
"07080P","國泰金麥證21售02","1.40","1.51"
"070815","臻鼎元大21購01","0.54","0.49"
"070819","元晶元大21購01","","0.05"
"070820","元晶元大21購02","0.13","0.13"
"070834","統一實元大21購01","0.16","0.17"
"07083P","國泰金國票23售01","1.31","1.25"
"07084P","南電國票23售02","","1.83"
"07085P","台灣50元富21售03","","1.89"
"070896","台肥第一26購01","0.24","0.23"
"070897","聯發科第一26購01","0.45","0.45"
"07089P","臺股指元富21售03","","2.99"
"07090P","台灣50元大21售10","","1.46"
"070915","致伸國票1B購01","","0.04"
"07091P","台灣50元大21售11","2.02","1.93"
"07093P","台灣50元大23售10","1.70","1.68"
"07094P","台灣50元大23售11","2.26","2.26"
"07095P","亞德客元大21售03","","1.36"
"070962","美指2X凱基1B購01","3.67","3.67"
"07097P","國巨元大21售03","0.12","0.15"
"07099P","智邦元大21售05","0.26","0.28"
"071015","鴻海統一1C購07","0.11","0.12"
"071016","鴻海統一1C購08","0.29","0.32"
"07101P","瑞昱元大21售03","2.18","2.35"
"071021","聯發科統一24購01","0.12","0.12"
"071028","大立光統一24購01","","0.92"
"07102P","友達元大24售03","0.36","0.35"
"071033","臻鼎統一21購01","0.24","0.23"
"071037","晶心科統一1C購01","0.34","0.25"
"07103P","友達元大25售01","0.27","0.29"
"071048","中興電元大21購01","0.36","0.36"
"07104P","聯發科元大21售19","0.16","0.18"
"07105P","立積元大21售01","0.93","1.30"
"07106P","緯穎元大21售04","0.13","0.16"
"071074","晶技元大21購01","0.07","0.07"
"07108P","臺指2X中信23售02","1.29","1.29"
"071101","聯電富邦1C購03","","0.01"
"071106","和碩富邦23購01","0.10","0.10"
"07110P","鴻海康和23售03","0.55","0.52"
"071119","晶心科國票1B購01","0.55","0.32"
"07111P","台積電康和21售05","","1.44"
"07112P","聯電群益21售07","","0.77"
"07113P","聯電群益22售03","","0.69"
"07114P","聯電群益24售02","","0.95"
"071157","大立光中信1B購01","1.91","1.85"
"07115P","世芯群益21售01","0.58","0.74"
"071164","聯發科國泰22購01","","0.06"
"071165","飛宏國泰1C購01","0.06","0.06"
"07116P","上海銀群益21售01","2.62","2.49"
"071174","滬深2X凱基21購02","0.07","0.06"
"071179","聯電凱基1B購08","","0.19"
"07117P","力積電群益23售01","","2.38"
"071186","聯發科凱基22購01","","0.05"
"07119P","長榮航國泰23售01","","2.13"
"07120P","微星凱基23售01","","0.09"
"071219","聯發科統一1C購11","","0.01"
"071224","大立光統一1C購06","0.98","0.93"
"071225","大立光統一1C購07","1.00","0.92"
"071226","大立光統一1C購08","","0.64"
"071227","大立光統一1C購09","1.02","0.97"
"071228","大立光統一21購02","0.83","0.80"
"07122P","聯發科凱基21售13","","0.30"
"07124P","儒鴻元大21售02","0.37","0.37"
"07125P","順德元大21售04","0.55","0.55"
"07126P","金像電元大21售03","0.31","0.31"
"07128P","長榮元大21售21","1.83","2.02"
"071294","旺宏富邦22購01","0.18","0.18"
"071298","大立光富邦23購03","1.16","1.12"
"07129P","新興元大21售04","0.71","0.74"
"071301","道瓊反群益1C購04","0.82","0.79"
"07130P","台積電元富21售16","1.04","0.96"
"07131P","鴻準元富21售02","","0.76"
"07132P","國泰金元富21售01","3.01","3.29"
"071333","群創國票1B購01","","0.01"
"07133P","日月光元富21售02","0.61","0.63"
"07134P","台塑麥證21售01","","0.67"
"07135P","智邦麥證21售01","","0.08"
"07136P","聯發科富邦21售03","","0.35"
"071387","台積電統一34購01","0.17","0.17"
"071389","聯發科統一34購01","","0.66"
"07138P","玉晶光國票22售01","1.68","1.86"
"071395","萬海統一34購01","0.18","0.18"
"071397","大立光統一1C購10","","1.22"
"07139P","敦泰國票23售01","1.02","1.02"
"071413","儒鴻凱基1C購03","","0.19"
"07141P","振樺電國票23售01","1.36","1.38"
"071426","臺企銀凱基22購01","0.08","0.08"
"07142P","聯發科中信21售03","0.28","0.28"
"071433","大立光凱基1B購03","3.12","2.92"
"07143P","貿聯中信21售01","1.22","1.38"
"071441","臻鼎凱基1C購01","0.34","0.32"
"071447","統一實凱基1B購02","","0.06"
"07144P","T50正2永豐21售02","0.43","0.44"
"07145P","T50正2永豐21售03","0.69","0.70"
"07146P","T50正2永豐21售04","0.93","0.94"
"07147P","亞德客群益21售02","1.57","1.61"
"07150P","聯發科群益21售11","0.81","0.81"
"07151P","聯發科群益21售12","1.14","1.10"
"07152P","聯發科群益22售01","0.43","0.47"
"071531","宏達電國票1B購04","0.33","0.32"
"07154P","健策群益21售02","","0.10"
"071551","樺漢國泰1C購01","0.49","0.47"
"071556","中興電統一24購01","0.28","0.28"
"071558","聯發科統一1C購12","","0.04"
"07155P","台灣50麥證23售04","0.70","0.69"
"071562","上品統一24購02","","0.46"
"07156P","台灣50麥證23售05","4.73","4.53"
"071572","S&P反1元大22購01","1.12","0.97"
"071573","道瓊反元大24購01","0.58","0.57"
"07157P","友達麥證23售01","","0.23"
"07158P","聯發科麥證21售02","","0.17"
"071596","永豐金元大1C購01","","0.05"
"07159P","聯發科麥證23售02","","0.48"
"071609","元晶元大1C購02","","0.09"
"07160P","開發金麥證21售02","0.64","0.73"
"071610","元晶元大21購03","0.12","0.11"
"071611","元晶元大24購01","0.42","0.41"
"07161P","台新金麥證21售01","0.40","0.39"
"071626","聯發科元富21購14","","0.11"
"07162P","順德凱基21售02","","0.18"
"07163P","可成凱基21售03","","0.03"
"07164P","長榮航凱基22售05","1.91","2.11"
"07165P","T50反1元富21售02","0.28","0.29"
"07166P","裕隆元富21售02","","0.36"
"07167P","鴻海元富21售02","0.40","0.37"
"07168P","國巨元富21售03","","0.74"
"071699","台積電中信22購03","0.02","0.03"
"071700","台積電中信22購04","0.02","0.02"
"07171P","長榮元富24售06","2.10","2.17"
"071725","鴻海群益1B購04","","0.23"
"07172P","創意元富21售02","0.37","0.41"
"07173P","鈺齊元富21售04","1.90","1.90"
"071742","臺企銀元富24購01","","0.10"
"071743","遠東銀元富21購01","0.15","0.15"
"071746","世芯元富24購01","0.32","0.33"
"07174P","道瓊銀國票22售01","0.34","0.38"
"071754","東鹼統一1C購01","0.01","0.01"
"071755","鴻海統一1C購09","0.48","0.56"
"071756","鴻海統一21購03","0.33","0.38"
"07175P","東陽國票21售01","","0.48"
"07176P","亞德客國票21售01","","1.09"
"071772","T50反1國票27購01","1.00","0.98"
"071773","中興電國票1B購02","0.34","0.34"
"071780","長榮航國票1B購08","","0.01"
"071784","華新凱基1B購01","","1.15"
"07178P","聯電國票22售03","0.19","0.18"
"07179P","智邦國票23售01","0.15","0.18"
"071806","臺企銀凱基24購01","0.09","0.09"
"07181P","創意國票22售05","0.13","0.19"
"071822","臺股指凱基24購01","0.02","0.02"
"071826","友達富邦1C購01","","0.08"
"07182P","健策國票23售01","","0.12"
"071839","台塑元大21購02","0.06","0.07"
"07183P","富采國票23售02","","0.30"
"071842","東鹼元大24購01","","0.19"
"071844","東鹼元大24購03","","0.16"
"07184P","華孚國票21售02","","0.79"
"07187P","富邦媒國票23售01","2.68","2.58"
"071883","安集元大24購01","0.14","0.12"
"071884","富鼎元大21購01","0.46","0.44"
"071889","華新第一26購01","","1.31"
"071890","南電第一26購01","0.12","0.12"
"071891","華新康和1C購01","1.45","1.45"
"07190P","瑞昱國泰23售01","","1.96"
"07191P","新唐國泰23售01","0.72","0.75"
"071920","遠東銀永豐1C購01","0.09","0.09"
"071929","A50正2凱基21購01","0.10","0.10"
"07192P","台積電元大21售28","2.51","2.39"
"07193P","國泰金元大21售03","2.33","2.33"
"071958","嘉澤凱基1B購01","","0.63"
"071964","聯電國泰1C購02","","0.04"
"071965","鴻海國泰1C購01","0.46","0.46"
"071966","鴻海國泰1C購02","","0.58"
"07196P","華孚元大24售03","0.60","0.65"
"071972","華新元富21購01","0.60","0.64"
"07197P","聯詠中信23售01","0.79","0.83"
"071986","上銀兆豐1C購01","","0.03"
"071988","滬深2X統一1C購01","","0.02"
"071989","華新統一1C購01","","0.25"
"07198P","臺股指中信26售01","0.97","0.96"
"071994","聯電統一1C購05","0.10","0.12"
"071998","東哥統一22購01","1.30","1.18"
"07199P","景碩群益21售06","2.11","2.13"
"072004","華新元大1C購01","0.53","0.58"
"07200P","華孚群益22售01","2.49","2.65"
"072018","聯發科元大1C購05","","0.01"
"072029","晶華元大1C購02","0.30","0.28"
"07202P","台灣50台新21售04","","1.66"
"07203P","台積電台新21售02","1.77","1.69"
"072043","振樺電元大1C購01","0.29","0.34"
"07204P","臺股指永豐21售03","0.41","0.41"
"072053","聯發科第一29購01","","0.39"
"072055","聯詠第一29購01","0.47","0.47"
"07205P","台積電凱基21售23","","0.99"
"072067","華新國泰1C購01","","1.07"
"07206P","台積電凱基27售05","2.60","2.37"
"07207P","華孚凱基21售02","","0.89"
"072083","聯詠國票1B購02","","0.01"
"07208P","聯電元富21售06","0.50","0.52"
"07209P","聯電元富21售07","0.59","0.58"
"072122","華通元大24購01","","0.19"
"07212P","中磊國票23售02","","0.50"
"072142","長榮航元大24購04","0.12","0.11"
"072143","長榮航元大24購05","","0.06"
"07214P","潤泰新國票23售01","","1.18"
"072154","華新統一1C購02","0.16","0.21"
"072155","華新統一21購01","0.40","0.46"
"072157","聯電統一24購01","0.27","0.28"
"07215P","友達國泰23售01","0.99","1.01"
"072162","陽明統一23購06","0.08","0.07"
"072166","玉晶光統一1C購03","0.01","0.01"
"07216P","台積電富邦21售13","","1.39"
"072174","鈺齊兆豐1B購01","","0.35"
"072179","臺指反凱基24購01","","1.25"
"07217P","T50正2元大23售06","1.34","1.35"
"072180","元油反凱基21購02","0.84","0.83"
"072182","遠東新凱基1B購01","","2.17"
"072188","聯電凱基22購01","","0.22"
"07218P","大立光元大21售11","0.71","0.80"
"07219P","華航中信21售01","1.13","1.15"
"072217","T50正2富邦1C購02","","0.07"
"07221P","長榮航群益21售10","0.75","0.88"
"072222","華新康和1C購02","0.13","0.16"
"072229","欣興兆豐1C購01","","0.04"
"072246","華新統一22購01","","0.49"
"072247","華新統一24購01","0.21","0.22"
"07224P","旺宏元富21售01","0.62","0.71"
"072253","大立光統一34購01","","0.97"
"07225P","智邦元富21售02","0.62","0.66"
"072266","華新國票1C購01","","0.03"
"072270","金寶國票1C購01","0.03","0.03"
"07227P","嘉澤元富21售02","0.09","0.07"
"07228P","T50反1國泰23售03","0.15","0.15"
"072295","京鼎元富24購01","","0.10"
"07229P","華碩國泰23售01","1.57","1.54"
"072302","鴻海群益21購01","0.20","0.25"
"07230P","創意國泰23售01","0.77","0.93"
"072312","貿聯群益1B購03","0.03","0.03"
"072316","華新富邦1C購01","","0.24"
"07231P","台積電元大21售32","3.04","2.81"
"07232P","台積電元大24售05","","1.39"
"07234P","友達國票21售02","0.46","0.50"
"072356","東哥凱基1B購01","","0.79"
"072363","道瓊反元大22購01","0.85","0.79"
"072366","華新元大1C購02","","0.20"
"072367","華新元大21購01","0.34","0.38"
"072368","華新元大21購02","","0.64"
"072369","華新元大21購03","","0.20"
"07238P","大立光凱基25售02","1.64","1.73"
"072399","台表科元大21購01","","0.12"
"07239P","大立光凱基27售05","1.91","2.00"
"072407","東哥元大21購01","1.56","1.40"
"07240P","東鹼群益21售01","","1.65"
"07241P","美時群益23售04","0.86","0.88"
"072428","宏達電群益1C購04","2.23","1.84"
"07242P","台勝科群益21售02","","1.18"
"072435","美時統一24購02","0.63","0.65"
"07243P","威鋒電群益21售02","","1.70"
"072441","國光生統一22購01","","0.19"
"072442","國光生統一24購01","","0.20"
"07244P","金像電康和23售01","0.25","0.25"
